:smiley:	 vui vẻ 
:smile:	 vui vẻ 
:grinning:	 tươi cười 
:blush:	 ngại ngùng 
:relaxed:	 thoải mái 
:wink:	 vui nhộn 
:heart_eyes:	 yêu 
:kissing_heart:	 vui tươi 
:kissing_closed_eyes:	 dịu hiền 
:kissing:	 vui thích 
:kissing_smiling_eyes:	 vui thích 
:stuck_out_tongue_winking_eye:	 nháy mắt 
:stuck_out_tongue_closed_eyes:	 tươi cười 
:stuck_out_tongue:	 pha trò 
:flushed:	 đỏ ửng 
:grin:	 cười 
:pensive:	 suy nghĩ 
:relieved:	 nhẹ nhõm 
:unamused:	 không hài lòng 
:disappointed:	 thất vọng 
:persevere:	 nhăn nhó 
:cry:	 khóc lóc 
:joy:	 hài hước 
:sob:	 khóc lóc 
:sleepy:	 buồn ngủ 
:disappointed_relieved:	 thất vọng 
:cold_sweat:	 sợ hãi 
:sweat_smile:	 vui vẻ 
:sweat:	 toát mồ hôi 
:weary:	 mệt mỏi 
:tired_face:	 mệt mỏi 
:fearful:	 sợ hãi 
:scream:	 khủng khiếp 
:angry:	 giận dữ 
:rage	 bực bội 
:confounded:	 xấu hổ 
:satisfied:	 haha 
:yum:	 ngon 
:mask:	 bệnh 
:sunglasses:	 sành điệu 
:sleeping:	 buồn ngủ 
:dizzy_face:	 choáng váng 
:astonished:	 ngạc nhiên 
:worried:	 lo lắng 
:frowning:	 cau mày 
:anguished:	 đau khổ 
:smiling_imp:	 pha trò 
:open_mouth:	 ngạc nhiên 
:neutral_face:	 logic 
:confused:	 bối rối 
:hushed:	 bỡ ngỡ 
:no_mouth:	 im lặng 
:innocent:	 vô tội 
:smirk:	 cười đểu 
:expressionless:	 vô cảm 

